epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,36146.8,0.40199,0.25595,0.86647,0.99971,1,0.995,0.95371,0.33884,0.20182,0.79995,0.0011486,0.0011486,0.0011486
45,37174.3,0.40024,0.25261,0.86521,0.99969,1,0.995,0.95154,0.34613,0.19636,0.80396,0.0011288,0.0011288,0.0011288
46,38203.2,0.38861,0.25132,0.86345,0.9997,1,0.995,0.94432,0.35362,0.21527,0.79991,0.001109,0.001109,0.001109
47,39230.1,0.40613,0.25508,0.85659,0.99974,1,0.995,0.94908,0.34054,0.19835,0.79526,0.0010892,0.0010892,0.0010892
48,40259.4,0.39744,0.25562,0.8625,0.99974,1,0.995,0.94654,0.3476,0.20117,0.79756,0.0010694,0.0010694,0.0010694
49,41291.1,0.40434,0.25142,0.86122,0.99975,1,0.995,0.94216,0.34613,0.19831,0.80272,0.0010496,0.0010496,0.0010496
50,42325.1,0.40727,0.25109,0.86356,0.99974,1,0.995,0.95092,0.33345,0.18987,0.79739,0.0010298,0.0010298,0.0010298
51,43360.1,0.38915,0.24957,0.86192,0.99869,1,0.995,0.94393,0.34455,0.19462,0.80519,0.00101,0.00101,0.00101
52,44405.9,0.38941,0.24263,0.85584,0.99974,1,0.995,0.94776,0.34416,0.19484,0.79658,0.0009902,0.0009902,0.0009902
53,45461.9,0.40033,0.25374,0.86274,0.99962,1,0.995,0.94994,0.34712,0.18978,0.79899,0.0009704,0.0009704,0.0009704
54,46508.8,0.39845,0.2463,0.85677,0.99781,1,0.995,0.9468,0.347,0.19211,0.79097,0.0009506,0.0009506,0.0009506
55,47554,0.39027,0.23786,0.85593,0.9995,1,0.995,0.95386,0.33579,0.19012,0.79605,0.0009308,0.0009308,0.0009308
56,48596.1,0.39528,0.24423,0.86201,0.99973,1,0.995,0.95663,0.33751,0.19351,0.80438,0.000911,0.000911,0.000911
57,49644,0.39877,0.23853,0.85605,0.99975,1,0.995,0.95245,0.34145,0.18855,0.7989,0.0008912,0.0008912,0.0008912
58,50683.1,0.40061,0.24201,0.8611,0.99976,1,0.995,0.95693,0.34537,0.18844,0.79824,0.0008714,0.0008714,0.0008714
59,51730.5,0.38983,0.23371,0.86374,0.99975,1,0.995,0.95428,0.33702,0.17713,0.80322,0.0008516,0.0008516,0.0008516
60,52772.7,0.39243,0.22758,0.85851,0.99964,1,0.995,0.95401,0.3344,0.17871,0.80347,0.0008318,0.0008318,0.0008318
61,53813.7,0.38172,0.22981,0.85712,0.99972,1,0.995,0.96005,0.34556,0.18114,0.8053,0.000812,0.000812,0.000812
62,54858.6,0.39374,0.23675,0.86237,0.99975,1,0.995,0.96136,0.34039,0.1841,0.79783,0.0007922,0.0007922,0.0007922
63,55915.3,0.38729,0.23584,0.86319,0.99972,1,0.995,0.95601,0.33951,0.183,0.80379,0.0007724,0.0007724,0.0007724
64,56973,0.37764,0.23151,0.85586,0.99915,1,0.995,0.95244,0.34053,0.18949,0.80527,0.0007526,0.0007526,0.0007526
65,58030.9,0.38027,0.22912,0.86011,0.99975,1,0.995,0.95527,0.33728,0.18797,0.80353,0.0007328,0.0007328,0.0007328
66,59085.8,0.38665,0.22731,0.86055,0.99976,1,0.995,0.95561,0.33871,0.18233,0.80266,0.000713,0.000713,0.000713
67,60146.9,0.38316,0.22934,0.85653,0.99976,1,0.995,0.96065,0.33307,0.17245,0.79746,0.0006932,0.0006932,0.0006932
68,61209.1,0.38129,0.22169,0.85745,0.99976,1,0.995,0.95534,0.34129,0.17541,0.79791,0.0006734,0.0006734,0.0006734
69,62276.6,0.37851,0.2268,0.86222,0.99975,1,0.995,0.9585,0.32853,0.17846,0.79372,0.0006536,0.0006536,0.0006536
70,63334.6,0.36983,0.21884,0.85463,0.99977,1,0.995,0.95674,0.33153,0.173,0.79856,0.0006338,0.0006338,0.0006338
71,64385.7,0.37802,0.22277,0.85629,0.99976,1,0.995,0.95908,0.3307,0.17147,0.79771,0.000614,0.000614,0.000614
72,65445.9,0.38232,0.21873,0.85656,0.99976,1,0.995,0.96383,0.32986,0.16993,0.79596,0.0005942,0.0005942,0.0005942
73,66514.1,0.37175,0.21512,0.85503,0.99976,1,0.995,0.96104,0.33267,0.1682,0.79804,0.0005744,0.0005744,0.0005744
74,67574.3,0.37115,0.21269,0.85517,0.99974,1,0.995,0.95779,0.33099,0.17554,0.79664,0.0005546,0.0005546,0.0005546
75,68637.8,0.37222,0.2173,0.85754,0.99962,1,0.995,0.96459,0.32585,0.1663,0.80231,0.0005348,0.0005348,0.0005348
76,69691.9,0.37674,0.22417,0.85376,0.99964,1,0.995,0.96484,0.33385,0.16634,0.79805,0.000515,0.000515,0.000515
77,70747.9,0.36572,0.2149,0.84955,0.99917,1,0.995,0.96185,0.32768,0.17378,0.79747,0.0004952,0.0004952,0.0004952
