                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49162,                0.56833,                 1.1596,                0.86962,                0.85921,                0.91613,                 0.8078,                0.54908,                0.56746,                 1.2142,             0.00052291,             0.00052291,             0.00052291
                     36,                0.49578,                0.55693,                 1.1651,                0.90569,                0.80356,                0.89431,                0.78242,                0.57276,                0.57817,                 1.2107,             0.00051981,             0.00051981,             0.00051981
                     37,                0.48884,                0.59448,                 1.1645,                 0.8948,                0.81463,                0.90065,                0.78756,                0.56498,                0.57483,                 1.2186,             0.00051672,             0.00051672,             0.00051672
                     38,                0.48712,                0.54813,                 1.1573,                0.89013,                0.81807,                0.91173,                0.81361,                0.51534,                0.50872,                 1.1611,             0.00051363,             0.00051363,             0.00051363
                     39,                0.48943,                0.55336,                 1.1608,                0.89222,                0.83475,                0.91974,                0.81089,                0.55534,                0.54838,                 1.2004,             0.00051053,             0.00051053,             0.00051053
                     40,                0.46732,                0.53993,                 1.1434,                0.84816,                0.83922,                0.90654,                0.79127,                0.57816,                0.53003,                 1.2252,             0.00050744,             0.00050744,             0.00050744
                     41,                0.48108,                 0.5267,                 1.1522,                0.92474,                0.75881,                0.88986,                0.77874,                0.56203,                0.62192,                 1.2179,             0.00050434,             0.00050434,             0.00050434
                     42,                0.45951,                   0.52,                 1.1361,                0.88984,                0.84257,                0.92053,                0.80977,                0.53753,                0.60209,                 1.1729,             0.00050125,             0.00050125,             0.00050125
                     43,                0.48017,                0.53056,                 1.1511,                0.85546,                0.87545,                 0.9103,                0.79691,                0.54219,                 0.5247,                 1.1985,             0.00049816,             0.00049816,             0.00049816
                     44,                0.45813,                0.50683,                 1.1401,                0.92184,                0.80549,                  0.899,                  0.798,                0.51902,                0.53685,                 1.1699,             0.00049506,             0.00049506,             0.00049506
                     45,                0.49453,                0.51557,                 1.1494,                0.90926,                0.85742,                0.91757,                0.80591,                 0.5327,                0.50386,                 1.1685,             0.00049197,             0.00049197,             0.00049197
                     46,                 0.4674,                0.48737,                 1.1383,                 0.8787,                0.88872,                0.92827,                0.81784,                0.51945,                0.51641,                 1.1565,             0.00048888,             0.00048888,             0.00048888
                     47,                0.46695,                 0.4963,                 1.1408,                0.92343,                0.82243,                0.90571,                0.80903,                0.52533,                0.50811,                 1.1436,             0.00048578,             0.00048578,             0.00048578
                     48,                 0.4664,                 0.4998,                  1.135,                0.89762,                0.82638,                0.90201,                0.79715,                0.57158,                0.53583,                 1.2331,             0.00048269,             0.00048269,             0.00048269
                     49,                0.45694,                0.47558,                 1.1353,                0.86457,                 0.8805,                  0.913,                0.81701,                0.52704,                0.50416,                 1.1737,             0.00047959,             0.00047959,             0.00047959
                     50,                0.46121,                0.49033,                 1.1304,                0.92244,                0.84325,                0.91866,                0.80412,                0.56657,                0.52918,                 1.2482,              0.0004765,              0.0004765,              0.0004765
                     51,                0.46164,                0.49525,                  1.148,                 0.9143,                0.81202,                0.90755,                0.80111,                0.54082,                0.52556,                 1.1813,             0.00047341,             0.00047341,             0.00047341
                     52,                0.47082,                0.47115,                 1.1394,                0.87271,                0.85295,                 0.9218,                0.80948,                0.53051,                 0.5033,                 1.1443,             0.00047031,             0.00047031,             0.00047031
                     53,                0.45674,                0.47211,                 1.1285,                0.87673,                0.88662,                0.91108,                0.81836,                0.49426,                0.50649,                 1.1029,             0.00046722,             0.00046722,             0.00046722
                     54,                 0.4575,                0.48329,                 1.1352,                0.86637,                0.87436,                 0.9112,                0.80951,                0.53275,                0.51672,                 1.1634,             0.00046413,             0.00046413,             0.00046413
                     55,                0.44836,                0.45475,                 1.1307,                0.89728,                0.87788,                0.91939,                0.81302,                0.54126,                0.48514,                 1.1705,             0.00046103,             0.00046103,             0.00046103
                     56,                0.46184,                0.45692,                 1.1367,                0.87707,                0.85429,                0.90831,                 0.8097,                0.52459,                0.53473,                  1.168,             0.00045794,             0.00045794,             0.00045794
                     57,                0.46175,                0.46109,                 1.1306,                0.89675,                0.85102,                0.91975,                0.82023,                0.52441,                0.49484,                 1.1455,             0.00045484,             0.00045484,             0.00045484
                     58,                0.44035,                 0.4576,                 1.1224,                0.87263,                0.86896,                 0.9286,                0.82675,                0.51955,                0.48479,                 1.1251,             0.00045175,             0.00045175,             0.00045175
                     59,                0.44856,                0.45206,                 1.1234,                0.91629,                 0.8577,                0.92144,                0.81214,                0.52817,                0.50818,                 1.1421,             0.00044866,             0.00044866,             0.00044866
